"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1791","PAN-363137",11728655,9,5,"Under Assessment","Development Application","Unknown","Wollongong City Council","Demolition-Residential flat building","15 BLACKET STREET NORTH WOLLONGONG 2500","150.898984333","-34.414122578","15","BLACKET","STREET","NORTH WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-09-13",NA,"2023-10-09T00:00:00","2023-09-25T00:00:00","N",NA,NA
"1792","PAN-451488",171086787,255,NA,"Cancelled","Development Application","Unknown","Council of the City of Sydney","Residential flat building-Shop top housing-Erection of a new structure","330-336 BOTANY ROAD ALEXANDRIA 2015","151.202109272","-33.907394094","330","BOTANY","ROAD","ALEXANDRIA","2015","New South Wales","336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1793","PAN-420115",21631000,12,NA,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Shop top housing-Erection of a new structure","51-57 BAYSWATER ROAD RUSHCUTTERS BAY 2011","151.224679241","-33.875535135","51","BAYSWATER","ROAD","RUSHCUTTERS BAY","2011","New South Wales","57",NA,NA,NA,NA,NA,NA,"2024-03-28",NA,"2024-05-13T00:00:00","2024-04-15T00:00:00","N",NA,NA
"1794","PAN-422985",6000000,2,1,"Determined","Development Application","Council","Wagga Wagga City Council","Dual occupancy-Subdivision-Erection of a new structure-Dual occupancy (detached)","26-38 KINGSFORD SMITH ROAD BOOROOMA 2650","147.375316564","-35.071023634","26","KINGSFORD SMITH","ROAD","BOOROOMA","2650","New South Wales","38",NA,1,"N","N",NA,3,"2024-04-05","2024-07-11","2024-05-28T00:00:00","2024-05-14T00:00:00","N","N",NA
"1795","PAN-268761",5221104,11,NA,"Determined","Development Application","Local Planning Panel","The Hills Shire Council","Dwelling-Demolition-Subdivision of land","71 Windsor Road, Norwest, 2153","150.969847152","-33.724243799","71","WINDSOR","ROAD","NORWEST","2153","New South Wales",NA,NA,1,"N","N","Y",12,"2022-10-27","2024-05-15","2022-11-22T00:00:00","2022-11-01T00:00:00","Y",NA,NA
"1796","PAN-283275",6935883,1,NA,"Determined","Development Application","Council staff under delegated authority","Sutherland Shire Council","Dwelling-Pools / decks / fencing-Demolition","30 BULLS ROAD BURRANEER 2230","151.140166624","-34.066608083","30","BULLS","ROAD","BURRANEER","2230","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-12-20","2023-11-16","2023-01-31T00:00:00","2023-01-12T00:00:00","N",NA,NA
"1797","PAN-341183",30455751,56,5,"Under Assessment","Development Application","Unknown","City of Parramatta Council","Residential flat building","87 THOMAS STREET PARRAMATTA 2150","151.021259916","-33.8133039032","87","THOMAS","STREET","PARRAMATTA","2150","New South Wales",NA,NA,NA,"N","Y","N",NA,"2024-05-28",NA,"2023-07-27T00:00:00","2023-06-29T00:00:00","N",NA,NA
"1798","PAN-350352",5264400,6,NA,"Determined","Development Application","Council staff under delegated authority","Mid-Coast Council","Multi-dwelling housing-Subdivision of land","2 BOONER STREET HAWKS NEST 2324","152.173429696","-32.671474846","2","BOONER","STREET","HAWKS NEST","2324","New South Wales",NA,NA,1,"N","Y","Y",6,"2023-08-07","2024-07-11","2023-09-27T00:00:00","2023-09-04T00:00:00","N","Y",NA
"1799","PAN-364304",7078840,0,NA,"Determined","Development Application","Council staff under delegated authority","Hawkesbury City Council","Stormwater management systems-Earthworks / change in levels","103 SPINKS ROAD GLOSSODIA 2756","150.778392601","-33.53985318","103","SPINKS","ROAD","GLOSSODIA","2756","New South Wales",NA,NA,1,"N","N","N",1,"2023-10-17","2024-07-11",NA,NA,"N",NA,NA
"1800","PAN-374670",11767788,6,2,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Demolition-Subdivision-Seniors housing-Independent living units-Erection of a new structure","16 Homestead Avenue, Collaroy","151.300233415","-33.734730519","16","HOMESTEAD","AVENUE","COLLAROY","2097","New South Wales",NA,NA,2,"N","Y","Y",6,"2023-09-27","2024-04-17","2023-10-18T00:00:00","2023-10-04T00:00:00","N","Y",NA
"1801","PAN-394926",9001755,24,2,"Additional Information Requested","Development Application","Unknown","Byron Shire Council","Demolition-Dwelling house-Erection of a new structure","60 BANGALOW ROAD BYRON BAY 2481","153.615988834","-28.65641281","60","BANGALOW","ROAD","BYRON BAY","2481","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-01-12",NA,"2024-02-15T00:00:00","2024-01-25T00:00:00","N",NA,NA
"1802","PAN-404694",13550785,19,10,"Determined","Development Application","Local Planning Panel","Council of the City of Sydney","Demolition-Residential flat building-Alterations or additions to an existing building or structure-Erection of a new structure","355-357 LIVERPOOL STREET DARLINGHURST 2010","151.219327365","-33.878269875","355","LIVERPOOL","STREET","DARLINGHURST","2010","New South Wales","357",NA,NA,"N","Y",NA,NA,"2024-04-03","2024-07-03","2024-05-10T00:00:00","2024-04-11T00:00:00","N","N",NA
"1803","PAN-431287",12511768,37,NA,"Additional Information Requested","Development Application","Unknown","Canterbury-Bankstown Council","Demolition-Residential flat building-Erection of a new structure","20 PARMAL AVENUE PADSTOW 2211","151.03620897","-33.952197157","20","PARMAL","AVENUE","PADSTOW","2211","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-05-28",NA,"2024-07-02T00:00:00","2024-06-12T00:00:00","N",NA,NA
"1804","PAN-446901",5200000,20,2,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Demolition-Multi-dwelling housing-Subdivision-Erection of a new structure","1 STOCKTON STREET MORISSET 2264","151.478030775","-33.10097697","1","STOCKTON","STREET","MORISSET","2264","New South Wales",NA,NA,1,"N","N","Y",20,"2024-07-05",NA,"2024-07-23T00:00:00","2024-07-05T00:00:00","Y",NA,NA
"1805","PAN-446901",5200000,20,2,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Demolition-Multi-dwelling housing-Subdivision-Erection of a new structure","1 STOCKTON STREET MORISSET 2264","151.478030775","-33.10097697","1","STOCKTON","STREET","MORISSET","2264","New South Wales",NA,NA,1,"N","N","Y",20,"2024-07-05",NA,"2024-07-23T00:00:00","2024-07-05T00:00:00","Y",NA,NA
"1806","PAN-418479",14400000,48,NA,"Additional Information Requested","Development Application","Unknown","Wollongong City Council","Shop top housing-Erection of a new structure","35 FLINDERS STREET WOLLONGONG 2500","150.892967712","-34.418041093","35","FLINDERS","STREET","WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-03-19",NA,"2024-04-05T00:00:00","2024-03-22T00:00:00","N",NA,NA
"1807","PAN-431828",21120000,64,NA,"Under Assessment","Development Application","Unknown","Wollongong City Council","Residential flat building-Erection of a new structure","30 ELLEN STREET WOLLONGONG 2500","150.890530964491","-34.4290342606176","43","ATCHISON","STREET","WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-05-14",NA,NA,NA,NA,NA,NA
"1808","PAN-241427",5000000,13,NA,"Determined","Development Application","Council staff under delegated authority","Tweed Shire Council","Demolition-Residential flat building","41 KINGSCLIFF STREET KINGSCLIFF 2487","153.569044969","-28.24721603","41","KINGSCLIFF","STREET","KINGSCLIFF","2487","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2022-07-13","2024-07-12","2022-08-31T00:00:00","2022-08-17T00:00:00","N",NA,NA
"1809","PAN-295085",6797357,0,NA,"Determined","Development Application","Council","Goulburn Mulwaree Council","Pools / decks / fencing-Demolition-Other","CANYONLEIGH ROAD BRAYTON 2579","150.037173099","-34.618516041",NA,NA,NA,NA,NA,NA,NA,NA,1,"N","N","N",NA,"2023-01-05","2023-06-06",NA,NA,"N",NA,NA
"1810","PAN-301309",80000000,262,NA,"Under Assessment","Development Application","Unknown","Wollongong City Council","Shop top housing","2 GLADSTONE AVENUE WOLLONGONG 2500","150.886827489","-34.42619097","2","GLADSTONE","AVENUE","WOLLONGONG","2500","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2023-02-24",NA,"2023-04-21T00:00:00","2023-03-21T00:00:00","N",NA,NA
"1811","PAN-342526",5351252,1,3,"Withdrawn","Development Application","Unknown","Sutherland Shire Council","Dwelling-Demolition-Garages, carports and car parking spaces","1 CULLEN STREET MAIANBAR 2230","151.127297665","-34.081061359","1","CULLEN","STREET","MAIANBAR","2230","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-07-28",NA,"2023-08-28T00:00:00","2023-08-11T00:00:00","N",NA,NA
"1812","PAN-373990",7974725,32,NA,"Determined","Development Application","Council staff under delegated authority","Wollongong City Council","Demolition-Multi-dwelling housing","122 KANAHOOKA ROAD KANAHOOKA 2530","150.821866849","-34.49748876","122","KANAHOOKA","ROAD","KANAHOOKA","2530","New South Wales",NA,NA,NA,"N","N",NA,NA,"2023-09-27","2024-07-12","2023-10-23T00:00:00","2023-10-09T00:00:00","N",NA,NA
"1813","PAN-422383",6945237,1,3,"Under Assessment","Development Application","Unknown","City of Canada Bay Council","Dwelling house-Alterations or additions to an existing building or structure-Erection of a new structure","123 PENINSULA DRIVE BREAKFAST POINT 2137","151.10966679","-33.839165954","123","PENINSULA","DRIVE","BREAKFAST POINT","2137","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-04-26",NA,"2024-05-28T00:00:00","2024-04-30T00:00:00","N",NA,NA
"1814","PAN-442534",14852586,98,NA,"Under Assessment","Development Application","Unknown","Randwick City Council","Residential flat building-Alterations or additions to an existing building or structure","11-27 JENNIFER STREET LITTLE BAY 2036","151.241972259","-33.984641482","11","JENNIFER","STREET","LITTLE BAY","2036","New South Wales","27",NA,NA,NA,NA,NA,NA,"2024-06-11",NA,"2024-07-08T00:00:00","2024-06-20T00:00:00","N",NA,NA
"1815","PAN-182945",13960000,36,NA,"Deferred Commencement","Development Application","Council","Bayside Council","Shop top housing","7 ARNCLIFFE STREET WOLLI CREEK 2205","151.150197749","-33.931955984","7","ARNCLIFFE","STREET","WOLLI CREEK","2205","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2022-01-10","2023-08-08","2022-02-04T00:00:00","2022-01-20T00:00:00","N","N",NA
"1816","PAN-366216",5747720.61,9,2,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Group homes ","14 OUTRIGGER DRIVE TERALBA 2284","151.6044013","-32.973437692","14","OUTRIGGER","DRIVE","TERALBA","2284","New South Wales",NA,NA,1,"N","N","N",1,"2023-09-12",NA,"2023-10-22T00:00:00","2023-09-29T00:00:00","N",NA,NA
"1817","PAN-374395",5251373.92,1,3,"Determined","Development Application","Council","Woollahra Municipal Council","Dwelling house-Alterations or additions to an existing building or structure","18 BURRABIRRA AVENUE VAUCLUSE 2030","151.27580169","-33.854678904","18","BURRABIRRA","AVENUE","VAUCLUSE","2030","New South Wales",NA,NA,NA,"N","N",NA,NA,"2023-10-23","2024-07-09","2023-11-30T00:00:00","2023-11-15T00:00:00","N",NA,NA
"1818","PAN-399693",13630814,13,3,"Additional Information Requested","Development Application","Unknown","Northern Beaches Council","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","54 BEACONSFIELD STREET NEWPORT 2106","151.311028881","-33.660570643","54","BEACONSFIELD","STREET","NEWPORT","2106","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-01-08",NA,NA,NA,"N",NA,NA
"1819","PAN-214048",5068491,6,3,"Deferred Commencement","Development Application","Local Planning Panel","Northern Beaches Council","Residential flat building","124 QUEENSCLIFF ROAD QUEENSCLIFF 2096","151.283909575","-33.782722","124","QUEENSCLIFF","ROAD","QUEENSCLIFF","2096","New South Wales",NA,NA,1,"N","N","N",2,"2022-06-02","2023-10-04","2022-06-29T00:00:00","2022-06-15T00:00:00","N","Y",NA
"1820","PAN-310689",7185000,10,3,"Determined","Development Application","Council staff under delegated authority","The Hills Shire Council","Multi-dwelling housing","197 OLD NORTHERN ROAD CASTLE HILL 2154","151.000569301","-33.739773393","197","OLD NORTHERN","ROAD","CASTLE HILL","2154","New South Wales",NA,NA,2,"N","Y","Y",10,"2023-03-31","2024-05-17","2023-04-26T00:00:00","2023-04-04T00:00:00","N",NA,NA
"1821","PAN-358407",115138246.3,214,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Canada Bay Council","Residential flat building-Stratum / community title subdivision","1-9 MARQUET STREET RHODES 2138","151.085652529","-33.830762854","1","MARQUET","STREET","RHODES","2138","New South Wales","9",NA,6,"N","N","Y",214,"2023-08-30","2024-05-15","2023-10-09T00:00:00","2023-09-11T00:00:00","Y",NA,NA
"1822","PAN-358407",115138246.3,214,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Canada Bay Council","Residential flat building-Stratum / community title subdivision","1-9 MARQUET STREET RHODES 2138","151.085652529","-33.830762854","1","MARQUET","STREET","RHODES","2138","New South Wales","9",NA,6,"N","N","Y",214,"2023-08-30","2024-05-15","2023-10-09T00:00:00","2023-09-11T00:00:00","Y",NA,NA
"1823","PAN-386711",9671523,6,NA,"Additional Information Requested","Development Application","Unknown","Woollahra Municipal Council","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","17-19 GUILFOYLE AVENUE DOUBLE BAY 2028","151.240876446","-33.875700194","17","GUILFOYLE","AVENUE","DOUBLE BAY","2028","New South Wales","19",NA,NA,"N","Y",NA,NA,"2023-11-06",NA,"2024-01-19T00:00:00","2023-11-29T00:00:00","N",NA,NA
"1824","PAN-413486",6284953,1,NA,"Additional Information Requested","Development Application","Unknown","Byron Shire Council","Demolition-Dwelling house-Erection of a new structure-Residential Accommodation","16 PALM VALLEY DRIVE BYRON BAY 2481","153.632729552","-28.638587087","16","PALM VALLEY","DRIVE","BYRON BAY","2481","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-04-05",NA,"2024-05-14T00:00:00","2024-04-17T00:00:00","N",NA,NA
"1825","PAN-425096",22638000,49,NA,"Under Assessment","Development Application","Unknown","Burwood Council","Residential flat building-Alterations or additions to an existing building or structure-Erection of a new structure","19 STANLEY STREET BURWOOD 2134","151.098598191","-33.877221041","19","STANLEY","STREET","BURWOOD","2134","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-04-18",NA,NA,NA,NA,NA,NA
"1826","PAN-429335",9211077,33,NA,"Under Assessment","Development Application","Unknown","Cumberland Council","Shop top housing-Alterations or additions to an existing building or structure","242 PITT STREET MERRYLANDS 2160","150.991887973","-33.835459356","242","PITT","STREET","MERRYLANDS","2160","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-05-10",NA,"2024-06-06T00:00:00","2024-05-23T00:00:00","N",NA,NA
"1827","PAN-434685",47058000,50,5,"Under Assessment","Development Application","Unknown","Waverley Council","Demolition-Residential flat building-Erection of a new structure","1 THE AVENUE ROSE BAY 2029","151.270818448","-33.877864196","1","THE AVENUE",NA,"ROSE BAY","2029","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-06-09",NA,"2024-07-18T00:00:00","2024-06-28T00:00:00","N",NA,NA
"1828","PAN-434932",16512727,33,5,"Under Assessment","Development Application","Unknown","Canterbury-Bankstown Council","Shop top housing-Erection of a new structure","166 TOWER STREET PANANIA 2213","150.99986925","-33.956079618","166","TOWER","STREET","PANANIA","2213","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-06-03",NA,"2024-07-09T00:00:00","2024-06-19T00:00:00","N",NA,NA
"1829","PAN-442850",26493542,19,NA,"Under Assessment","Development Application","Unknown","North Sydney Council","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","93 KURRABA ROAD KURRABA POINT 2089","151.22212007","-33.841900332","93","KURRABA","ROAD","KURRABA POINT","2089","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-06-27",NA,"2024-07-26T00:00:00","2024-07-12T00:00:00","N",NA,NA
"1830","PAN-452575",18000000,38,NA,"Pending Lodgement","Development Application","Unknown","Temora Shire Council","Multi-dwelling housing-Subdivision-Erection of a new structure","1-16 APOLLO PLACE TEMORA 2666","147.532505186","-34.436690073","1","APOLLO","PLACE","TEMORA","2666","New South Wales","16",NA,19,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"1831","PAN-184113",7500000,23,4,"Additional Information Requested","Development Application","Unknown","Coffs Harbour City Council","Multi-dwelling housing-Residential flat building","5 BEACH STREET WOOLGOOLGA 2456","153.194148602","-30.112042048","5","BEACH","STREET","WOOLGOOLGA","2456","New South Wales",NA,NA,1,"N","N","Y",24,"2022-01-27",NA,"2022-02-16T00:00:00","2022-02-02T00:00:00","N",NA,NA
"1832","PAN-336096",18284112,28,2,"Under Assessment","Development Application","Unknown","Northern Beaches Council","Dwelling-Attached dwelling-Semi-attached dwelling-Stratum / community title subdivision","16 MACPHERSON STREET WARRIEWOOD 2102","151.29414727","-33.686606412","16","MACPHERSON","STREET","WARRIEWOOD","2102","New South Wales",NA,NA,1,"Y","N","Y",30,"2023-06-05",NA,"2023-07-14T00:00:00","2023-06-16T00:00:00","N",NA,NA
"1833","PAN-352164",14712359,38,6,"Determined","Development Application","Land and Environment Court","Burwood Council","Residential flat building-Mixed use development","50 BELMORE STREET BURWOOD 2134","151.100601733","-33.878869436","50","BELMORE","STREET","BURWOOD","2134","New South Wales",NA,NA,2,"N","Y","N",NA,"2023-07-27","2024-04-19","2023-08-22T00:00:00","2023-08-08T00:00:00","N",NA,NA
